Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,39.89771246910095,0.95,0.001,16,5000,0.6,0.4
2,40.12806224822998,0.95,0.001,16,5000,0.6,0.4
3,40.20753312110901,0.95,0.001,16,5000,0.6,0.4
4,40.1465322971344,0.95,0.001,16,5000,0.6,0.4
5,39.220752239227295,0.95,0.001,16,5000,0.6,0.4
6,40.047998666763306,0.95,0.001,16,5000,0.6,0.4
7,39.4727578163147,0.95,0.001,16,5000,0.6,0.4
8,40.16242289543152,0.95,0.001,16,5000,0.6,0.4
9,39.73784136772156,0.95,0.001,16,5000,0.6,0.4
10,39.75519394874573,0.95,0.001,16,5000,0.6,0.4
11,40.2143874168396,0.95,0.001,16,5000,0.6,0.4
12,39.72429943084717,0.95,0.001,16,5000,0.6,0.4
13,40.2465386390686,0.95,0.001,16,5000,0.6,0.4
14,39.7455358505249,0.95,0.001,16,5000,0.6,0.4
15,39.514305114746094,0.95,0.001,16,5000,0.6,0.4
16,40.23216438293457,0.95,0.001,16,5000,0.6,0.4
17,43.62150716781616,0.95,0.001,16,5000,0.6,0.4
18,39.613361120224,0.95,0.001,16,5000,0.6,0.4
19,39.37567853927612,0.95,0.001,16,5000,0.6,0.4
20,39.65418243408203,0.95,0.001,16,5000,0.6,0.4
21,39.54279899597168,0.95,0.001,16,5000,0.6,0.4
22,39.4613516330719,0.95,0.001,16,5000,0.6,0.4
23,39.4638946056366,0.95,0.001,16,5000,0.6,0.4
24,39.38319396972656,0.95,0.001,16,5000,0.6,0.4
25,39.458189487457275,0.95,0.001,16,5000,0.6,0.4
26,40.2723023891449,0.95,0.001,16,5000,0.6,0.4
27,39.30969476699829,0.95,0.001,16,5000,0.6,0.4
28,39.52793312072754,0.95,0.001,16,5000,0.6,0.4
29,39.72876596450806,0.95,0.001,16,5000,0.6,0.4
30,39.635725259780884,0.95,0.001,16,5000,0.6,0.4
Average,39.88342057863871,0.95,0.001,16,5000,0.6,0.4
