Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size
1,11.095112800598145,0.99,0.001,16,5000
2,11.086822509765625,0.99,0.001,16,5000
3,10.963282823562622,0.99,0.001,16,5000
4,10.85481882095337,0.99,0.001,16,5000
5,11.104641675949097,0.99,0.001,16,5000
Average,11.02093572616577,0.99,0.001,16,5000
1,11.704283475875854,0.99,0.001,16,5000
2,11.816187381744385,0.99,0.001,16,5000
3,11.751118421554565,0.99,0.001,16,5000
4,11.773280382156372,0.99,0.001,16,5000
5,11.611775636672974,0.99,0.001,16,5000
6,12.132685899734497,0.99,0.001,16,5000
7,12.472228288650513,0.99,0.001,16,5000
8,12.251809120178223,0.99,0.001,16,5000
9,12.352345943450928,0.99,0.001,16,5000
10,12.20208191871643,0.99,0.001,16,5000
11,12.34069013595581,0.99,0.001,16,5000
12,12.634930610656738,0.99,0.001,16,5000
13,12.269479274749756,0.99,0.001,16,5000
14,12.147212505340576,0.99,0.001,16,5000
15,12.473082304000854,0.99,0.001,16,5000
16,12.335273027420044,0.99,0.001,16,5000
17,12.226150035858154,0.99,0.001,16,5000
18,12.14004898071289,0.99,0.001,16,5000
19,12.013373851776123,0.99,0.001,16,5000
20,14.169836282730103,0.99,0.001,16,5000
21,13.001316547393799,0.99,0.001,16,5000
22,13.571877717971802,0.99,0.001,16,5000
23,13.624735116958618,0.99,0.001,16,5000
24,12.898439884185791,0.99,0.001,16,5000
25,13.190964221954346,0.99,0.001,16,5000
26,13.048185348510742,0.99,0.001,16,5000
27,13.43466830253601,0.99,0.001,16,5000
28,13.026431322097778,0.99,0.001,16,5000
29,12.750173568725586,0.99,0.001,16,5000
30,12.447233200073242,0.99,0.001,16,5000
Average,12.311902209690638,0.99,0.001,16,5000
